Material Name;Material Type;End time;Route;Weight;Length;Thickness;Width;Grade;Quality Status;Seg No;Seg from;Seg to;CCM.TD. Heat counter Value;CCM.TD. Temperature liquidus Value;CCM.TD. Temperature liquidus Dynaphase Value;CCM.TD. TD internals type Value;CCM.TD. Slag powder Value;CCM.TD. Stopper Type Value;CCM.TD. Steel weight in tundish Value;CCM.TD. Tundish inflow Value;CCM.TD. Stopper Last Position Value;CCM.TD. Stopper position max Value;CCM.TD. Stopper position min Value;CCM.TD. Stopper pos chg max segment Value;CCM.TD. Stopper position chg 10 s Value;CCM.TD. Stopper position slab chg Value;CCM.TD. Superheat Value;CCM.TD. Temperature tundish Value;CCM.SEN. SEN Type Value;CCM.SEN. Immersion depth Value;CCM.MD. Level average Value;CCM.MD. Level change (max-min) Value;CCM.MD. Level std_dev Value;CCM.MD. Level std_dev west Value;CCM.MD. Level std_dev east Value;CCM.MD. Mold width Value;CCM.MIX. Concentration factor Value;CCM.STR. Speed - Mold avg Value;CCM.STR. Throughput Value;CCM.SLAB. Slab counter heat Value;CCM.SLAB. Slab counter sequence Value
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;1;0,0;0,1;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;2;0,1;0,2;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;3;0,2;0,3;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;4;0,3;0,4;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;5;0,4;0,5;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;6;0,5;0,6;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;7;0,6;0,7;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;8;0,7;0,8;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;9;0,8;0,9;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;10;0,9;1,0;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;11;1,0;1,1;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;12;1,1;1,2;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;13;1,2;1,3;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;14;1,3;1,4;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;15;1,4;1,5;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;16;1,5;1,6;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;17;1,6;1,7;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;18;1,7;1,8;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;19;1,8;1,9;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;20;1,9;2,0;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;21;2,0;2,1;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;22;2,1;2,2;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;23;2,2;2,3;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;24;2,3;2,4;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;25;2,4;2,5;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;26;2,5;2,6;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;27;2,6;2,7;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;28;2,7;2,8;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;29;2,8;2,9;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;30;2,9;3,0;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;31;3,0;3,1;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;32;3,1;3,2;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;33;3,2;3,3;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;34;3,3;3,4;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;35;3,4;3,5;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;36;3,5;3,6;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;37;3,6;3,7;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;38;3,7;3,8;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;39;3,8;3,9;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;40;3,9;4,0;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;41;4,0;4,1;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;42;4,1;4,2;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;43;4,2;4,3;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;44;4,3;4,4;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;45;4,4;4,5;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
13;slab;2023-02-20 16:40:05;Route 1;123605;51,04;202,000;1539;720-1;OK;46;4,5;4,6;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
